Jobs/JobID_InDB,Jobs/JobID,Jobs/OwnerUserID,Jobs/NodeID_SubmittedOn,Jobs/TimeSubmission,Jobs/TimeDeadLinePrefered,Jobs/TimeDeadlineFinal,Jobs/ListOfTasks,Jobs/LastStatus,Jobs/LastStatusTime,Jobs/JobSizeWithoutAccountForParallelism,Jobs/CountOfEdges,Jobs/CountOfTasks,Jobs/SumOfEdgeWeight,Jobs/MaxEdgeWeight,Jobs/MinEdgeWeight,Jobs/MaxTaskSize,Jobs/MinTaskSize,Jobs/MaxParallelExecutableTasks,Jobs/JobInitSourceTypeID,Jobs/TasksWhichCanRunInParallel,Jobs/MinStorageNeeded,Jobs/TotalStorageNeeded,Jobs/MaxRamNeededForParallelExec,Jobs/MinRamNeeded,Jobs/TotalRamNeeded,Jobs/TaskIDsOfHighestsCPULoadPartOfTheDag,Jobs/MaxRamNeededForParallelExecutionOfHighestCpuLoadPartOfTheDag,Jobs/MinimumPassThrough_MI_withHighestParallelism,Jobs/MinTimeForExecuteDagWithMaxParallelismOnCloud,Jobs/MinTimeForExecuteDagWithMaxParallelismOnFog,Jobs/MinTimeForExecuteDagWithMaxParallelismOnIoT,Jobs/MaxTimeForExecuteDagSerialOnCloud,Jobs/MinTimeForExecuteDagSerialOnFog,Jobs/MinTimeForExecuteDagSerialOnIoT,Jobs/EFT_DAG
44727,116,K389,N_1_of_Clst_0_of_DC_0_of_CP_Lomocom68,6,344,344,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",InitializedAndWaiting,6,223336482,49,34,1810,76,7,8675936,4616305,5,3,"[[0],[1,4,6,20],[2,10,12,21,31],[3],[5,11,15,17],[7,13,14,30],[8,9],[16,24],[18],[19],[22,25],[23],[26,28],[27],[29],[32],[33]]",11,6795,0,35,72195,"[2,10,12,21,31]",6247,122247288,51.8876,233.0442,2469.6422,94.7948,425.754,4511.8481,194
44728,117,E750,N_2_of_FP_0_of_Jackolicom45,1516,1806,1806,"0,1,2,3,4,5,6,7,8,9,10,11",InitializedAndWaiting,1516,86550762,15,12,632,65,7,8714330,5393196,2,2,"[[0],[1],[2,9],[3,6],[4],[5],[7],[8],[10],[11]]",30,2551,0,422,23461,"[3,6]",4657,75023665,31.8437,143.0202,1515.6296,36.7363,164.9947,1748.5002,1656
44729,118,B780,N_3_of_Clst_0_of_DC_0_of_CP_Lomocom68,6795,7178,7178,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76",InitializedAndWaiting,6795,530410612,115,77,4938,79,4,8948671,4557761,12,3,"[[0],[1,2,14],[3,4,5,6,15,16,17,20,21,22,29,50],[7,8,9,11,12,23,24,26,31,33,40,44],[10,13,18,25,28,35,36,37,39,43,60],[19],[27,30,32,42,53,63,69],[34,51,56,61],[38,48],[41,47],[45,57],[46],[49,52],[54],[55,62],[58],[59],[64],[65,66],[67,72],[68],[70],[71,73],[74],[75],[76]]",2,14501,0,89,163287,"[7,8,9,11,12,23,24,26,31,33,40,44]",31317,190276908,80.7627,362.7314,3843.9779,225.1318,1011.1399,10715.3659,7028
44730,119,G617,TM197,8622,8850,8850,"0,1,2,3,4,5,6,7",InitializedAndWaiting,8622,57380449,10,8,350,62,14,8617351,4825722,2,1,"[[0],[1,3],[2],[4],[5,6],[7]]",13,1914,0,707,16413,"[5,6]",3375,45536285,19.3278,86.8074,919.9249,24.355,109.3863,1159.201,8700
44731,120,R109,N_1_of_Clst_1_of_DC_0_of_CP_Lomocom68,2519,2866,2866,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",InitializedAndWaiting,2519,263610883,59,40,2549,79,5,8936044,4513544,7,3,"[[0],[1,4],[2,5,6,12,16,23,32],[3,8,10,18,21,36],[7,11,13],[9,17],[14],[15,25,30],[19],[20,26],[22],[24,31],[27],[28],[29],[33],[34],[35],[37],[38],[39]]",13,8178,0,223,80378,"[2,5,6,12,16,23,32]",16439,143755941,61.017,274.0469,2904.1604,111.8892,502.5304,5325.4724,2716
44732,121,T521,TM197,1017,1375,1375,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",InitializedAndWaiting,1017,192771429,43,31,1753,78,5,8641719,4555062,5,1,"[[0],[1,2],[3,6,14],[4],[5,7,9,10,21],[8],[11,18],[12,17,27],[13],[15],[16],[19,20],[22,26],[23],[24],[25],[28],[29],[30]]",10,4939,0,47,68977,"[5,7,9,10,21]",8657,117308669,49.7915,223.6295,2369.8721,81.8215,367.4868,3894.3723,1225
44733,122,F495,N_1_of_Clst_0_of_DC_0_of_CP_Lomocom68,9187,9599,9599,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",InitializedAndWaiting,9187,433185276,99,66,4296,80,3,8983945,4501652,8,3,"[[0],[1,12],[2,11],[3,4,7,13,21,22,38],[5,8,9,34,49,53],[6,14],[10],[15,16,17,18,27,31,43,61],[19,24,36],[20,30,52],[23,33,35],[25,50],[26,29,47],[28,40],[32],[37,45,46,51],[39,44],[41],[42],[48],[54,57],[55],[56],[58],[59],[60],[62],[63],[64],[65]]",8,12581,0,49,141872,"[15,16,17,18,27,31,43,61]",17826,219228567,93.0512,417.9229,4428.8599,183.8647,825.7959,8751.2177,9449
44734,123,X382,TM197,6523,6947,6947,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54",InitializedAndWaiting,6523,380902192,81,55,3374,79,4,8963448,4655239,7,1,"[[0],[1,2],[3,5,7,8,23],[4,9,10,12],[6,11,13,20,32,37],[14,19,25,27,28,29,40],[15,17],[16,30,33],[18,21,39],[22],[24],[26,31],[34],[35,48],[36],[38,45],[41],[42],[43,51],[44],[46],[47],[49],[50],[52],[53],[54]]",10,10625,0,119,117999,"[14,19,25,27,28,29,40]",16424,195434288,82.9517,372.5631,3948.1674,161.6733,726.1269,7694.9938,6797
44735,124,D661,N_2_of_Clst_0_of_DC_0_of_CP_Lomocom68,9848,10170,10170,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41",InitializedAndWaiting,9848,285431124,60,42,2092,78,3,8924900,4568360,7,3,"[[0],[1,2,12],[3,4,5,7,10,16,18],[6,9,14],[8,17,23,24],[11,19],[13,20,26],[15,22,27,31],[21,29],[25],[28],[30],[32],[33,35],[34],[36],[37,39],[38],[40],[41]]",7,8924,0,51,79300,"[3,4,5,7,10,16,18]",16220,148044003,62.837,282.2213,2990.7879,121.1507,544.1271,5766.2853,10020
44736,125,V581,N_1_of_FP_0_of_Jackolicom45,7624,8001,8001,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",InitializedAndWaiting,7624,417054219,85,58,3481,80,3,8907484,4514228,6,2,"[[0],[1],[2,3],[4,5,9,15],[6,13,16,21,22,41],[7,12,19,28,29,36],[8,52],[10,14,24,30],[11,33],[17,18,26,40],[20,27,35],[23,43],[25,38,47],[31],[32,34,44],[37],[39],[42,50],[45,51],[46],[48],[49],[53],[54],[55],[56],[57]]",4,12669,0,99,126124,"[7,12,19,28,29,36]",14684,208713505,88.5881,397.8777,4216.4344,177.0179,795.0447,8425.3378,7851
44737,126,B890,N_0_of_Clst_0_of_DC_0_of_CP_Lomocom68,5962,6342,6342,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52",InitializedAndWaiting,5962,374883004,79,53,3604,79,3,8958938,4560019,12,3,"[[0],[1,6],[2,3,8,12,16],[4,5,9,11,13,15,18,19,21,24,30,34],[7,26,31,36],[10,14,20,23,25,32,51],[17,29],[22],[27,43],[28,40,44],[33,45,47],[35],[37],[38],[39],[41],[42],[46],[48],[49],[50],[52]]",3,9076,0,62,96194,"[4,5,9,11,13,15,18,19,21,24,30,34]",22264,167831518,71.2358,319.943,3390.5357,159.1184,714.6523,7573.394,6192
