Jobs/JobID_InDB,Jobs/JobID,Jobs/OwnerUserID,Jobs/NodeID_SubmittedOn,Jobs/TimeSubmission,Jobs/TimeDeadLinePrefered,Jobs/TimeDeadlineFinal,Jobs/ListOfTasks,Jobs/LastStatus,Jobs/LastStatusTime,Jobs/JobSizeWithoutAccountForParallelism,Jobs/CountOfEdges,Jobs/CountOfTasks,Jobs/SumOfEdgeWeight,Jobs/MaxEdgeWeight,Jobs/MinEdgeWeight,Jobs/MaxTaskSize,Jobs/MinTaskSize,Jobs/MaxParallelExecutableTasks,Jobs/JobInitSourceTypeID,Jobs/TasksWhichCanRunInParallel,Jobs/MinStorageNeeded,Jobs/TotalStorageNeeded,Jobs/MaxRamNeededForParallelExec,Jobs/MinRamNeeded,Jobs/TotalRamNeeded,Jobs/TaskIDsOfHighestsCPULoadPartOfTheDag,Jobs/MaxRamNeededForParallelExecutionOfHighestCpuLoadPartOfTheDag,Jobs/MinimumPassThrough_MI_withHighestParallelism,Jobs/MinTimeForExecuteDagWithMaxParallelismOnCloud,Jobs/MinTimeForExecuteDagWithMaxParallelismOnFog,Jobs/MinTimeForExecuteDagWithMaxParallelismOnIoT,Jobs/MaxTimeForExecuteDagSerialOnCloud,Jobs/MinTimeForExecuteDagSerialOnFog,Jobs/MinTimeForExecuteDagSerialOnIoT,Jobs/EFT_DAG
44611,0,B781,N_1_of_Clst_1_of_DC_0_of_CP_Lomocom68,6850,7116,7116,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",InitializedAndWaiting,6850,141081972,32,21,1463,79,5,8557422,4818186,5,3,"[[0],[1,2],[3,4,5,8,11],[6,9,10],[7,17],[12],[13,15],[14,19],[16],[18],[20]]",6,3230,0,123,33827,"[3,4,5,8,11]",9444,77392780,32.8492,147.5365,1563.4905,59.882,268.9494,2850.1408,6966
44612,1,Q878,N_0_of_FP_0_of_Jackolicom45,1668,2062,2062,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66",InitializedAndWaiting,1668,459246133,96,67,4120,80,3,8999411,4530011,11,2,"[[0],[1,2],[3,4,5,8,16,19],[6,32,56],[7,9,11,12,17,18,21,22,23,43,53],[10,14,31,59],[13,25],[15,29,37,61],[20,24,27,36,38,44],[26,30,35,41,42,47,64],[28,34],[33],[39,50],[40,48],[45],[46,49,54],[51],[52,55,57],[58,60],[62,63],[65],[66]]",6,12436,0,187,139865,"[7,9,11,12,17,18,21,22,23,43,53]",28291,166118994,70.5089,316.6783,3355.9393,194.9262,875.4766,9277.6997,1912
44613,2,G309,TM197,8257,8574,8574,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",InitializedAndWaiting,8257,164262224,33,24,1413,79,7,8790011,4901002,4,1,"[[0],[1,2,4,5],[3],[6,7],[8],[9,11,15],[10,18],[12],[13],[14],[16],[17],[19],[20],[21],[22],[23]]",10,4279,0,302,45205,"[1,2,4,5]",6574,124904416,53.0155,238.1096,2523.3215,69.7208,313.1387,3318.4288,8424
44614,3,I476,N_1_of_FP_0_of_Jackolicom45,2024,2376,2376,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75",InitializedAndWaiting,2024,502139995,116,76,4741,80,4,8940952,4540859,9,2,"[[0],[1,2,4],[3,5,7,9,15,16,21,37],[6,13,19,33,45,48],[8,12,14,26,31,32,35,38,42],[10,18,46,57,61,66],[11,27,36,40,55],[17,23,30,43,49],[20,25,29,50,52],[22,28,53],[24,41,51,54],[34,39,64,70],[44,47],[56,62],[58,60],[59,67],[63,69,72],[65],[68],[71],[73],[74],[75]]",10,15818,0,49,158441,"[8,12,14,26,31,32,35,38,42]",14838,167713041,71.1855,319.7171,3388.1422,213.1324,957.2466,10144.2423,2226
44615,4,X401,N_3_of_Clst_1_of_DC_0_of_CP_Lomocom68,6692,7067,7067,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75",InitializedAndWaiting,6692,501395862,114,76,4713,79,4,8964560,4592850,9,3,"[[0],[1],[2,3,7,33,41],[4,6,9,12,21],[5],[8,10,13,17,19,20,25,56,60],[11,22,23,29,32],[14,24],[15,18,47,55,62],[16,51,54,57],[26,30,34,59,69],[27,40,48],[28,37],[31,39,49,64],[35,52],[36,67],[38,46,71],[42,44],[43],[45],[50,53],[58],[61],[63],[65,68],[66],[70],[72],[73],[74],[75]]",4,14357,0,60,157072,"[8,10,13,17,19,20,25,56,60]",15292,218438294,92.7157,416.4164,4412.8948,212.8166,955.8281,10129.2093,6917
44616,5,Y760,N_3_of_Clst_1_of_DC_0_of_CP_Lomocom68,9075,9392,9392,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",InitializedAndWaiting,9075,339646079,70,48,2847,79,5,8989293,4726995,7,3,"[[0],[1,2,6],[3,4,5,7,9,11,24],[8,15,17,18,19,31,33],[10,13,28,29,39],[12,22],[14,20],[16],[21],[23,41],[25],[26,27],[30],[32,37],[34],[35,40],[36],[38],[42],[43],[44],[45],[46],[47]]",3,10059,0,316,91924,"[3,4,5,7,9,11,24]",12176,184736957,78.4113,352.1704,3732.0597,144.1622,647.4789,6861.5369,9242
44617,6,K820,N_2_of_Clst_1_of_DC_0_of_CP_Lomocom68,9507,9919,9919,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",InitializedAndWaiting,9507,445498227,97,66,4262,78,4,8894071,4612749,10,3,"[[0],[1,9],[2,3,4,6,10,44],[5,12,19,20,22,23,32,36,37],[7,8,14,15,26,29,43,46,53,58],[11,13,16,17,18,27,49],[21],[24,38,41,45,48],[25,33,39,52],[28,31],[30],[34],[35,57],[40,42],[47],[50,62],[51,55],[54,60],[56],[59],[61],[63],[64],[65]]",8,12947,0,55,136844,"[7,8,14,15,26,29,43,46,53,58]",21976,175507344,74.4938,334.5756,3545.6029,189.0909,849.2685,8999.9642,9769
44618,7,A439,N_1_of_FP_0_of_Jackolicom45,8133,8415,8415,"0,1,2,3,4,5,6,7,8,9,10,11",InitializedAndWaiting,8133,85724931,16,12,803,78,3,8844749,4846713,2,2,"[[0],[1,2],[3],[4,5],[6],[7],[8],[9],[10],[11]]",13,2362,0,825,26987,"[1,2]",2635,71406242,30.3083,136.1242,1442.5503,36.3858,163.4204,1731.8168,8265
44619,8,W381,N_1_of_Clst_0_of_DC_0_of_CP_Lomocom68,9173,9521,9521,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",InitializedAndWaiting,9173,341628432,73,50,3041,79,4,8875314,4581903,5,3,"[[0],[1,2,7,11],[3,5,16,18,20],[4,6,21,22],[8,12,23,32],[9,10,28],[13],[14,15,19],[17,41],[24,25,27,36],[26],[29],[30],[31],[33,34,37,45],[35,38,42],[39],[40,46],[43],[44],[47],[48],[49]]",2,9354,0,223,111895,"[3,5,16,18,20]",12272,168288725,71.4298,320.8145,3399.7722,145.0036,651.258,6901.5845,9371
44620,9,L718,N_0_of_Clst_0_of_DC_0_of_CP_Lomocom68,475,796,796,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",InitializedAndWaiting,475,280150008,59,41,2464,80,4,8893247,4639397,7,3,"[[0],[1,5],[2,3,7,9,11],[4,21,22,23,30],[6,8,14],[10,18,19,20,25,28,34],[12,15,24,31],[13],[16,26],[17],[27,33,36],[29],[32],[35],[37],[38],[39],[40]]",3,8239,0,85,86732,"[10,18,19,20,25,28,34]",13172,130629234,55.4453,249.023,2638.9744,118.9092,534.0595,5659.5961,646
